Time;Action
4.000000;1.000000
10.000000;2.000000
2015.000000;3.000000
0.000000;4.000000
0.000000;5.000000
0.000000;6.000000
0.010000;7.000000
3.000000;11.000000
7777.000000;12.000000
1.000000;13.000000
0.000000;40.000000
1.000000;14.000000
59636710.000000;23.000000
59637680.000000;24.000000
59637730.000000;23.000000
59638030.000000;24.000000
59638190.000000;23.000000
59638400.000000;24.000000
59638660.000000;23.000000
59639020.000000;24.000000
59639230.000000;23.000000
59640650.000000;24.000000
59641830.000000;27.000000
59641980.000000;28.000000
59642030.000000;27.000000
59645840.000000;28.000000
59645890.000000;27.000000
59646300.000000;28.000000
59646360.000000;27.000000
59646910.000000;28.000000
59647060.000000;27.000000
59649500.000000;28.000000
59649610.000000;27.000000
59650540.000000;28.000000
59650800.000000;27.000000
59651220.000000;28.000000
59651420.000000;27.000000
59652520.000000;28.000000
59653770.000000;25.000000
59653770.000000;17.000000
59653770.000000;19.000000
59653770.000000;21.000000
59653970.000000;26.000000
59654220.000000;25.000000
59654480.000000;26.000000
59654780.000000;25.000000
59654880.000000;26.000000
59655790.000000;23.000000
59656840.000000;18.000000
59656840.000000;20.000000
59656840.000000;22.000000
59658250.000000;24.000000
59658450.000000;23.000000
59658450.000000;35.000000
59658450.000000;36.000000
59659970.000000;24.000000
59660120.000000;23.000000
59660430.000000;24.000000
59660590.000000;23.000000
59660890.000000;24.000000
59660990.000000;23.000000
59661440.000000;24.000000
59661790.000000;23.000000
59661890.000000;24.000000
59662090.000000;23.000000
59662560.000000;24.000000
59663170.000000;25.000000
59663220.000000;26.000000
59663320.000000;25.000000
59665050.000000;26.000000
59666360.000000;25.000000
59667010.000000;26.000000
59667260.000000;25.000000
59667360.000000;26.000000
59667410.000000;25.000000
59667960.000000;26.000000
59668060.000000;25.000000
59668660.000000;26.000000
59668720.000000;25.000000
59669120.000000;26.000000
59669220.000000;25.000000
59669520.000000;26.000000
59669620.000000;25.000000
59669770.000000;26.000000
59675500.000000;25.000000
59675560.000000;26.000000
59676870.000000;25.000000
59677130.000000;26.000000
59677180.000000;25.000000
59677340.000000;26.000000
59677390.000000;25.000000
59677900.000000;26.000000
59683560.000000;25.000000
59683610.000000;26.000000
59683770.000000;25.000000
59684170.000000;26.000000
59693290.000000;25.000000
59693440.000000;26.000000
59693540.000000;25.000000
59693790.000000;26.000000
59694090.000000;25.000000
59694140.000000;26.000000
59694490.000000;25.000000
59694540.000000;26.000000
